countryName,EPRETRSectorCode,eptrSectorName,EPRTRAnnexIMainActivityCode,EPRTRAnnexIMainActivityLabel,FacilityInspireID,facilityName,City,CITY ID,targetRelease,pollutant,emission,DAY,MONTH,reportingYear,CONTINENT,max_wind_speed,avg_wind_speed,min_wind_speed,max_temp,avg_temp,min_temp,DAYS WITH FOG,REPORTER NAME
United Kingdom,1,Energy sector,1(a),,UK.SEPA/200000143.Facility,Shell North Sea Gas Terminal,Peterhead,2479bc4c2bfdf64343cc3320760cd92e,AIR,0,235000,26,8,2019,EUROPE,"1,46E+16","1,81E+15","2,49E+16","1,4E+16","1,35E+16","1,49E+16",13,Samantha Long
United Kingdom,5,Waste and wastewater management,5(d),,UK.SEPA/200000123.Facility,"Dunbar Landfill Site, East Lothian",Dunbar,559b680a0a185afb0230c1a41927c92b,AIR,2,740000,10,7,2019,EUROPE,"1,13E+15","1,57E+16","1,75E+15","1,73E+15","1,81E+16","1,97E+16",5,Carol Hinton
United Kingdom,1,Energy sector,1(a),,UK.SEPA/200000157.Facility,"Flotta North Sea Terminal, Orkney","Stromness, Orkney",bf7ff1049910efe1bccd90217619ae5b,AIR,1,"1,12E+08",25,1,2019,EUROPE,"1,78E+15","2,04E+16","2,24E+16","8,11E+15","8,17E+14","1,23E+16",11,Calvin Velasquez
United Kingdom,5,Waste and wastewater management,5(b),,UK.SEPA/200002651.Facility,Millerhill Recycling & Energy Recovery Centre,"Millerhill, Dalkeith",c662b4b4d859a9c224b5ac0acf221748,AIR,0,175000,12,6,2019,EUROPE,"1,79E+15","2,04E+15","2,2E+16","1,51E+16","1,71E+16","1,82E+15",10,William Nelson
United Kingdom,5,Waste and wastewater management,5(d),,UK.SEPA/200000083.Facility,"Auchencarroch Landfill, Jamestown",Alexandria,a6bc8f85a33112c5beea4d357caad4cd,AIR,2,1300000,9,11,2019,EUROPE,"1,69E+16","1,79E+15","2,07E+16","5,38E+15","7,29E+15","1,18E+15",12,Tracy Powell
United Kingdom,3,Mineral industry,3(e),,UK.SEPA/200000073.Facility,Alloa Glass Factory,Alloa,2cc8f54182c37b8907f534011ea01e6f,AIR,0,990000,28,9,2019,EUROPE,"1,74E+16","1,89E+16","2,23E+15","5,82E+14","6,09E+15","9,39E+15",12,Lance Hart
United Kingdom,5,Waste and wastewater management,5(d),,UK.SEPA/200000115.Facility,"Avondale Landfill Site, Polmont",Polmont,941b15d27183b05e8e58e0fbc509e963,AIR,0,101000,13,11,2019,EUROPE,"1,73E+16","1,65E+16","1,87E+16","9,37E+15",-2E+16,"1,12E+16",7,Hunter Davidson
United Kingdom,5,Waste and wastewater management,5(d),,UK.SEPA/200001862.Facility,"Shewalton Pits Landfill Site, Irvine",Irvine,3ecc035dd613d1e8c86207e007da26a4,AIR,2,195000,6,9,2019,EUROPE,"1,32E+16","1,56E+16","1,95E+15","1,09E+16","1,06E+16","1,53E+16",7,Rachel Johnson
United Kingdom,5,Waste and wastewater management,5(b),,UK.SEPA/200002651.Facility,Millerhill Recycling & Energy Recovery Centre,"Millerhill, Dalkeith",c662b4b4d859a9c224b5ac0acf221748,AIR,1,"1,32E+08",4,12,2019,EUROPE,"2,09E+15","2,07E+15","2,46E+16","5,74E+15","7,31E+15","9,42E+15",6,Jason Moses
United Kingdom,4,Chemical industry,4(a)(i),,UK.SEPA/200002493.Facility,INEOS Chemicals Grangemouth Ltd,Grangemouth,ce6badb6a385e25ce519dc600eb7402e,AIR,0,612000,17,2,2019,EUROPE,"1,46E+15","1,89E+16","2,65E+16","1,18E+16","1,12E+16","1,55E+16",13,Julie Elliott
United Kingdom,5,Waste and wastewater management,5(c),,UK.SEPA/200000101.Facility,"Battleby Landfill Site, Perth",Perth,4bc44fa25c7afaf63618e6586084052e,AIR,2,354000,18,7,2019,EUROPE,"1,26E+15","1,64E+16","2,17E+15","1,11E+16","1,1E+16","1,5E+16",4,Michael Cruz
United Kingdom,4,Chemical industry,4(a)(ii),,UK.SEPA/200000207.Facility,DSM @ Drakemyre Chemical Works,Dalry,111a1f9724ed88a23488fd6fb36a050e,AIR,0,124000,2,5,2019,EUROPE,"9,99E+15","1,52E+16","1,83E+16","9,27E+15","8,98E+14","1,3E+16",8,Andrea Holden
United Kingdom,3,Mineral industry,3(e),,UK.SEPA/200000221.Facility,Irvine Glass Works,Irvine,3ecc035dd613d1e8c86207e007da26a4,AIR,0,191000,12,12,2019,EUROPE,"1,91E+16","2,02E+15","2,69E+16","9,54E+15","1,17E+16","1,44E+16",8,Randall Smith
United Kingdom,4,Chemical industry,4(a)(i),,UK.SEPA/200002493.Facility,INEOS Chemicals Grangemouth Ltd,Grangemouth,ce6badb6a385e25ce519dc600eb7402e,AIR,1,"5,22E+08",9,5,2019,EUROPE,"1,75E+16","1,8E+15","2,46E+15","1,47E+16","1,66E+15","1,78E+15",3,Kelly Williams
United Kingdom,5,Waste and wastewater management,5(d),,UK.SEPA/200000084.Facility,"Garlaff Landfill Site, Cumnock",Cumnock,b6ca640b7121ae2bf206ea088f6a4618,AIR,2,999000,20,11,2019,EUROPE,"1,49E+15","2,04E+16","2,37E+16","1,58E+16","4,32E+14","8,9E+15",11,Rebecca Brooks
